,ODO % sat_chesa,ODO mg/L_chesa,Temp °C_chesa,SpCond µS/cm_chesa,Turbidity NTU_chesa,pH_chesa,ORP mV_chesa,Depth m_chesa,ODO % sat_charl,ODO mg/L_charl,Temp °C_charl,SpCond µS/cm_charl,Turbidity NTU_charl,pH_charl,ORP mV_charl,Depth m_charl,Discharge,Gage height
2018-01-29 00:00:00,120.96666666666665,15.606666666666667,3.758333333333333,186.60000000000002,9.168333333333333,6.564999999999999,335.98333333333335,1.0,104.75,5.605,3.8033333333333332,167.04999999999998,7.27,6.6816666666666675,189.46666666666667,1.0,12900.0,18.752083333333335
2018-01-29 06:00:00,119.64999999999998,15.436666666666667,3.753333333333334,189.95000000000002,9.065,6.528333333333333,339.28333333333336,1.0,104.36666666666666,5.513333333333333,3.6333333333333333,169.51666666666665,7.509999999999999,6.651666666666666,192.38333333333333,1.0,15962.5,18.879166666666666
2018-01-29 12:00:00,119.71666666666665,15.413333333333332,3.836666666666666,191.4,9.758333333333333,6.546666666666667,340.5166666666667,1.0,105.25,5.651666666666667,3.6266666666666665,167.11666666666667,8.276666666666667,6.695,193.6,1.0,16807.69230769231,18.902307692307694
2018-01-29 18:00:00,121.28333333333332,15.413333333333334,4.33,192.16666666666666,9.854999999999999,6.655000000000001,338.95,1.0,106.46666666666665,5.63,3.951666666666666,168.21666666666667,6.126666666666665,6.868333333333332,195.46666666666667,1.0,17929.41176470588,18.988235294117647
2018-01-30 00:00:00,119.26666666666667,15.078333333333333,4.528333333333333,192.61666666666665,9.291666666666666,6.668333333333334,338.04999999999995,1.0,105.39999999999999,5.406666666666666,4.055000000000001,172.26666666666665,7.178333333333334,6.753333333333333,192.79999999999998,1.0,15020.833333333334,18.62416666666667
2018-01-30 06:00:00,117.33333333333333,14.835,4.528333333333333,189.33333333333334,9.558333333333335,6.613333333333333,340.7666666666667,1.0,104.78333333333332,5.351666666666667,3.908333333333333,173.41666666666666,7.466666666666668,6.734999999999999,192.71666666666667,1.0,14750.0,18.80541666666667
2018-01-30 12:00:00,117.48333333333333,14.908333333333333,4.39,186.33333333333334,10.61,6.596666666666667,341.09999999999997,1.0,103.81666666666666,5.284999999999999,3.7550000000000003,174.48333333333335,6.5633333333333335,6.75,193.23333333333335,1.0,17725.0,18.95875
2018-01-30 18:00:00,117.43333333333334,14.9,4.390000000000001,184.26666666666668,10.348333333333334,6.6116666666666655,341.2,1.0,103.58333333333333,5.271666666666667,4.0616666666666665,173.46666666666667,6.866666666666666,6.9316666666666675,197.46666666666667,1.0,14354.166666666666,18.685416666666672
2018-01-31 00:00:00,116.14999999999999,14.784999999999998,4.258333333333333,181.46666666666667,9.941666666666668,6.544999999999999,343.40000000000003,1.0,102.91666666666667,5.276666666666666,4.1000000000000005,172.2166666666667,4.595,6.7683333333333335,195.01666666666668,1.0,15912.5,18.834999999999997
2018-01-31 06:00:00,116.39999999999999,14.843333333333334,4.194999999999999,180.8166666666667,9.845,6.519999999999999,343.5833333333333,1.0,102.0,5.321666666666666,4.06,169.79999999999998,5.9433333333333325,6.741666666666667,197.41666666666666,1.0,14916.666666666666,18.744166666666665
2018-01-31 12:00:00,116.93333333333334,14.948333333333332,4.101666666666666,177.15,11.055,6.588333333333332,340.48333333333335,1.0,101.66666666666669,5.420000000000001,3.923333333333334,167.20000000000002,5.8116666666666665,6.753333333333334,200.15,1.0,15533.333333333334,18.590833333333332
2018-01-31 18:00:00,116.51666666666667,14.931666666666667,4.011666666666667,172.4166666666667,10.935,6.536666666666666,342.56666666666666,1.0,102.10000000000001,5.46,4.19,165.71666666666667,6.256666666666668,6.825,204.93333333333337,1.0,14487.5,18.68041666666667
2018-02-01 00:00:00,116.38333333333334,15.021666666666668,3.7399999999999998,168.13333333333333,11.028333333333334,6.428333333333335,348.09999999999997,1.0,102.75,5.521666666666667,4.333333333333333,164.46666666666667,7.078333333333334,6.695,204.16666666666666,1.0,13758.333333333334,18.707916666666666
2018-02-01 06:00:00,117.81666666666668,15.225,3.686666666666666,166.6833333333333,12.111666666666666,6.435,348.55,1.0,102.85000000000001,5.716666666666666,4.306666666666667,159.48333333333335,7.155,6.685,205.0666666666667,1.0,15154.166666666666,18.732916666666668
2018-02-01 12:00:00,118.76666666666667,15.318333333333333,3.763333333333333,167.45,12.176666666666668,6.493333333333333,345.75,1.0,101.64999999999999,5.886666666666667,4.098333333333334,154.01666666666665,8.126666666666667,6.62,209.63333333333333,1.0,14858.333333333334,18.51291666666667
2018-02-01 18:00:00,118.63333333333333,15.333333333333334,3.6966666666666668,168.98333333333332,12.049999999999999,6.471666666666668,346.8500000000001,1.0,101.94999999999999,6.0249999999999995,3.94,151.50000000000003,8.215000000000002,6.563333333333333,213.14999999999998,1.0,13000.0,18.557083333333328
2018-02-02 00:00:00,118.78333333333332,15.37,3.6399999999999992,175.98333333333335,9.293333333333333,6.451666666666665,347.5333333333333,1.0,102.75,5.666666666666667,3.926666666666667,162.08333333333334,9.9,6.578333333333333,211.9666666666667,1.0,13158.333333333334,18.727499999999996
2018-02-02 06:00:00,120.01666666666665,15.518333333333333,3.6699999999999995,182.3166666666667,9.881666666666668,6.535,348.7333333333333,1.0,102.81666666666666,5.716666666666666,3.815,161.25000000000003,8.705,6.598333333333334,211.28333333333333,1.0,16383.333333333334,19.01916666666667
